PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0.31687853,-0.11347582,0.06181032,-0.10419012,-0.01646511,-0.12205778,0.25521094,0.08957905,0.01199025,-0.01190605
0.33213314,-0.1061754,0.10980476,-0.09028002,0.02842435,-0.14783567,0.26200441,0.08964327,0.0155276,0.00961724
0.32528102,-0.09927548,0.13880545,-0.07172187,0.05132628,-0.15016174,0.24443439,0.07709159,-0.00279254,0.02801691
0.30783787,-0.09452116,0.16886982,-0.04719244,0.09786902,-0.17652331,0.2308166,0.06548409,-0.01531586,0.04289864
0.2687504,-0.12862737,0.18563175,-0.03145351,0.12707372,-0.18081479,0.22147161,0.06059235,-0.01589372,0.0483514
0.21448393,-0.15598823,0.18608652,-0.02577304,0.15735449,-0.18101022,0.22404712,0.06199497,-0.01579119,0.0453508
0.14002171,-0.16981952,0.18242821,-0.04527337,0.19346488,-0.18571402,0.21605569,0.0611394,-0.01723263,0.05693159
0.07461035,-0.18834928,0.16609575,-0.04326848,0.2310715,-0.18953075,0.20241013,0.08193526,-0.03759322,0.07178823
-0.01760947,-0.16539375,0.15479681,-0.04474353,0.25331783,-0.19795023,0.16752034,0.09952403,-0.0388449,0.08114164
-0.11520156,-0.14418256,0.13732281,-0.03991169,0.26048994,-0.20999886,0.13834591,0.138928,-0.03475885,0.1040983
-0.20269965,-0.13117918,0.09845605,-0.01566748,0.23670599,-0.19874914,0.10479612,0.15181546,-0.03416464,0.12092984
-0.26852447,-0.13629366,0.05424931,0.00640585,0.21445557,-0.16631286,0.07271013,0.13693021,-0.04029528,0.11163997
-0.32047278,-0.13015307,0.01037055,0.00964896,0.17129274,-0.11169162,0.05337201,0.1077375,-0.02669523,0.09501719
-0.34057289,-0.11064023,-0.04219696,0.01584306,0.13833857,-0.08431114,0.03780144,0.1009417,-0.01961775,0.06886322
-0.32775587,-0.09620271,-0.09053087,0.01791072,0.10239308,-0.0755617,0.04044675,0.08963311,0.007282,0.05223728
-0.29504961,-0.05769211,-0.14649709,0.01203082,0.06184283,-0.05090397,0.04395409,0.08754902,0.0343806,0.0539042
-0.22788538,-0.0002871,-0.16348669,-0.01106412,0.01231019,-0.05909868,0.05315133,0.07985812,0.04592099,0.04360425
-0.14533067,0.05181684,-0.16274023,-0.00932151,-0.02360804,-0.05613481,0.05927535,0.07644505,0.05777732,0.04539735
-0.067445,0.09255218,-0.14406383,0.01021881,-0.06044545,-0.04572547,0.06910886,0.05959512,0.07171505,0.02979068
0.03216442,0.12827684,-0.13833892,0.01871044,-0.09975624,-0.0580223,0.08224668,0.03386814,0.08677638,0.00664052
0.14613093,0.12444317,-0.13127746,0.01767668,-0.12378995,-0.05971849,0.10144915,0.02064028,0.09100712,-0.02347159
0.27523252,0.11936463,-0.10611667,0.02125212,-0.13852198,-0.05468103,0.12192927,-0.00181416,0.08796901,-0.06299292
0.38748688,0.10928207,-0.07638796,0.01590788,-0.13753191,-0.07533281,0.1207985,0.00395798,0.11009012,-0.08313554
0.52472496,0.12350528,-0.04605048,0.02742361,-0.13706951,-0.10894285,0.12018801,0.03579153,0.13218497,-0.09112576
0.61954367,0.13475148,-0.00130444,0.03475052,-0.12186465,-0.15158257,0.11448005,0.04326254,0.13709378,-0.09482759
0.66663843,0.13366336,0.04144424,0.03899707,-0.09513497,-0.16913402,0.0985001,0.04452489,0.13816373,-0.11080649
0.70917296,0.088366,0.0896923,0.04583873,-0.05676995,-0.19889183,0.08003759,0.06900614,0.13551947,-0.11847434
0.71304661,0.04158649,0.12480361,0.05612599,-0.04149963,-0.21699859,0.06048017,0.07228328,0.13374928,-0.13899158
0.68258482,-0.03052617,0.14591855,0.0736093,-0.01045799,-0.21588001,0.03808156,0.06158628,0.12687911,-0.140992
0.65294975,-0.09629302,0.15987167,0.08176983,0.01484144,-0.22732517,0.03540935,0.03490563,0.11515583,-0.14558654
0.62042892,-0.16150089,0.16218419,0.08337559,0.0400314,-0.24610887,0.02998738,0.02698506,0.10062476,-0.15040992
